,Unnamed: 0,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
391,393,5,2,3,2,6,5,6,2,3,2,6,1,2,2,2,2,5,2,5,4,5,6,2,5,5,2,3,3,38,4,3,4,2,2,2,3,2,5,4.0,3.0,4.0,4.0,4.0,4.0
392,395,1,1,4,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,3,1,1,1,1,1,55,1,2,3,6,2,1,1,2,1,1.0,2.0,1.0,1.0,1.0,1.0
393,396,1,1,4,1,3,1,1,3,1,1,1,2,1,1,2,3,3,3,1,3,4,1,3,1,1,1,3,1,42,1,3,3,3,2,1,4,3,3,3.0,3.0,1.0,1.0,1.0,1.0
394,397,1,1,3,1,4,1,1,3,1,1,1,2,1,1,2,3,3,4,1,3,6,1,3,1,1,1,5,1,42,1,4,3,3,2,1,4,3,3,4.0,3.0,1.0,1.0,1.0,1.0
395,399,1,1,2,1,3,1,1,2,1,2,1,2,1,1,2,1,5,4,1,2,6,1,1,1,1,1,3,1,37,2,4,3,2,2,1,6,3,5,4.0,2.0,1.0,1.0,1.0,2.0
396,400,1,1,4,1,3,1,1,3,1,1,1,2,1,1,2,3,3,3,1,3,5,2,3,1,1,1,3,2,44,2,3,3,3,2,1,4,3,3,3.0,3.0,1.0,2.0,1.0,2.0
397,401,1,2,5,1,4,1,1,3,1,1,1,2,1,1,1,3,4,5,1,3,5,1,3,1,1,1,3,1,23,3,4,3,2,2,1,4,3,5,4.0,3.0,1.0,2.0,1.0,1.0
398,402,1,1,4,1,3,1,1,2,1,1,1,2,1,1,2,2,3,3,1,2,3,1,2,1,1,1,4,1,46,4,5,2,1,1,1,1,2,2,3.0,2.0,1.0,2.0,1.0,1.0
399,403,1,2,3,1,4,1,1,2,1,1,1,2,1,1,2,2,3,4,1,2,5,1,2,1,1,1,3,2,26,3,3,2,6,2,1,6,2,5,4.0,2.0,1.0,2.0,1.0,1.0
400,404,1,1,4,1,5,1,1,2,2,1,1,2,1,1,2,2,5,5,1,4,5,1,1,1,1,1,5,2,53,2,4,2,4,2,1,4,1,5,5.0,2.0,1.0,2.0,1.0,1.0
401,405,1,1,2,1,5,1,1,2,2,1,1,2,1,1,2,1,6,5,1,3,5,2,2,1,1,1,5,2,32,2,4,3,2,2,1,6,2,5,5.0,2.0,1.0,2.0,1.0,2.0
402,406,1,2,4,1,3,1,1,3,1,1,1,2,1,1,1,3,2,2,1,4,4,1,3,1,1,1,3,2,35,3,3,3,3,2,1,3,3,3,3.0,3.0,1.0,2.0,1.0,1.0
