,Proud,Participantsex,Levelofeducation,Ashamed,Skilful,Envious,Desprecio,Goodnatured,Inspired,Uneasy,Hateful,Leadersex,Jealous,Frustrated,Maritalstatus,Warm,Capable,Competent,Resentful,Wellintentioned,Assessmentleader,Simpaty,Friendly,Molestia,Disgusted,Pity,Intelligent,Admiring,Age,Respectful,Confident,Trustworthy,Replacementleader,Typeofcompany,Angry,Responsaatribu,Sincere,Efficient,Group1(Competent),Group2(Friendly),Group3(Hateful),Group4(Admiring),Group5(Jealous),Group6(Uneasy)
370,3,1,1,3,5,2,1,3,4,2,1,1,2,3,4,3,5,4,1,5,5,4,3,1,1,2,3,3,51,4,5,4,3,1,1,5,4,5,5,3,1,2,1,1
371,3,2,3,1,5,3,1,4,5,2,1,2,2,3,1,3,5,5,1,5,4,4,3,1,1,1,5,5,41,5,5,5,5,2,1,4,5,5,3,5,1,3,1,2
372,1,1,2,2,3,1,1,2,1,1,2,2,1,2,2,2,2,2,1,2,6,1,2,2,1,1,2,1,35,2,2,3,2,1,1,6,1,1,5,4,1,4,1,2
373,1,2,2,1,4,1,1,3,1,1,1,1,1,2,2,3,4,3,1,2,5,1,3,2,2,2,3,1,50,2,4,2,3,2,1,4,2,4,4,2,3,1,1,1
374,2,1,1,1,3,2,1,3,3,1,1,1,3,2,2,2,3,4,1,2,6,3,2,2,2,1,2,3,64,2,3,2,2,1,1,6,3,3,5,4,1,4,1,3
375,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,6,1,1,1,1,4,1,1,31,3,3,1,1,1,3,6,1,1,6,4,1,4,3,4
376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,5,1,1,1,1,4,1,1,48,3,3,1,3,2,3,4,1,1,4,2,1,1,1,1
377,2,2,6,1,4,1,1,3,2,2,1,1,1,2,1,1,3,3,1,2,5,2,4,2,2,1,4,3,26,3,3,2,3,2,2,4,2,3,5,3,1,4,1,2
378,2,2,3,2,4,2,2,3,3,2,1,2,2,1,4,3,4,4,2,4,6,2,2,2,2,1,4,4,58,3,4,4,1,2,1,5,2,5,5,4,1,2,1,2
379,1,1,3,1,6,1,2,1,1,1,1,2,1,1,2,1,5,4,1,1,4,1,1,2,2,1,3,2,45,2,4,1,2,1,3,3,1,6,2,2,1,2,1,1
380,1,2,5,3,3,1,1,2,1,2,1,2,1,3,1,2,3,4,1,2,4,2,2,2,3,3,3,1,39,2,4,2,2,1,1,2,2,4,3,3,1,3,1,1
381,4,2,1,2,4,2,2,3,5,3,2,2,1,2,1,3,4,4,2,3,6,4,3,2,2,2,4,4,56,4,4,3,4,2,2,6,3,5,4,4,2,4,5,2
