Participantsex,Leadersex,Group,Typeofcompany,Maniexp1,Maniexp2,VARCOMPETENCE,VARWARMTH,VARADMIRATION,VARENVY,VARDISGUST,VARRECASSESSMENT,VARRECREPLACEMENTLEADER,VARRECRESPONSAATRIB,Assessmentleader,Responsaatribu,Replacementleader,Competent,Confident,Capable,Efficient,Intelligent,Skilful,Friendly,Wellintentioned,Trustworthy,Warm,Goodnatured,Sincere,Jealous,Envious,Admiring,Proud,Respectful,Inspired,Uneasy,Angry,Desprecio,Resentful,Molestia,Disgusted,Hateful,Frustrated,Ashamed,Pity,Simpaty,Maritalstatus,Age,Province,Nationality,Levelofeducation,Profession
2,1,1,1,5,5,4.33333333333333,4.16666666666667,3,1.5,1,2,4,2,5,5,3,4,4,4,4,5,5,4,4,5,4,4,4,1,2,5,2,3,3,2,1,1,1,1,1,1,1,1,1,3,2,39,Pontevedra,Española,2,Esteticista
2,1,1,1,4,4,3.5,2.33333333333333,3.2,1.5,1,2,4,2,5,5,3,4,4,3,4,3,3,3,3,2,2,2,2,1,2,3,3,3,4,3,1,1,1,1,1,1,1,1,1,3,0,35,Madrid,ESPAÑOLA,3,ADMINISTRATIVA
1,1,1,1,6,6,5,2.83333333333333,3.2,1.5,1,1,6,1,6,6,1,5,5,5,5,5,5,5,2,4,2,2,2,1,2,5,3,3,3,2,1,1,1,1,1,1,1,1,1,2,2,45,Vizcaya,Española,4,Informático
1,1,1,1,5,5,4.16666666666667,1.5,3.25,1.5,1,2,5,2,5,5,2,4,5,5,3,4,4,2,2,2,1,1,1,1,2,4,4,,3,2,1,1,1,1,1,1,1,1,1,2,2,34,Barcelona,ESPAÑOLA,2,ADMINISTRATIVO
1,1,1,1,6,6,6,4.33333333333333,3.4,1.5,1,2,5,1,5,6,2,6,6,6,6,6,6,4,5,5,3,4,5,1,2,3,3,4,4,3,1,1,1,1,1,1,1,1,1,3,2,34,Madrid,Española,1,Funcionario
2,1,1,1,5,5,4.16666666666667,2.83333333333333,3.8,1.5,1,1,4,2,6,5,3,4,5,5,5,3,3,3,3,3,2,2,4,2,1,4,5,4,4,2,1,1,1,1,1,1,1,1,1,2,4,47,Murcia,ESPAÑOLA,3,ADMINISTRATIVA
1,1,1,1,4,4,3.83333333333333,3.5,4.6,1.5,1,2,5,4,5,3,2,4,5,2,5,3,4,3,5,4,3,3,3,1,2,5,2,6,6,4,1,1,1,1,1,1,1,1,1,5,1,19,Alicante,española,3,
2,1,1,1,6,6,5,4.33333333333333,4.6,1.5,1,1,4,1,6,6,3,5,5,5,5,5,5,5,5,5,3,4,4,2,1,5,5,4,5,4,1,1,1,1,1,1,1,1,1,5,4,44,Málaga,Alemana,1,masajista
2,1,1,1,4,4,3.83333333333333,2.16666666666667,2.6,2,1,3,4,3,4,4,3,5,5,3,3,3,4,3,2,2,2,2,2,2,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,2,1,35,Porfavorseleccionaprovincia,ESPAÑOLA,4,CONTABLE
1,1,1,1,5,5,4.33333333333333,3,2.6,2,1,1,6,2,6,5,1,5,3,6,5,3,4,3,2,4,2,4,3,2,2,3,2,4,3,1,1,1,1,1,1,1,1,1,1,2,2,42,Madrid,Española,4,Funcionario
1,1,1,1,5,4,3.33333333333333,3.5,2.6,2,1,2,5,2,5,5,2,3,4,3,4,3,3,4,3,3,4,4,3,2,2,3,3,3,2,2,1,1,1,1,1,1,1,1,2,2,0,55,Vizcaya,española,5,econimista
1,1,1,1,6,6,6,2.5,2.8,2,1,1,2,3,6,4,5,6,6,6,6,6,6,2,3,3,2,2,3,2,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,2,52,León,Española,4,Aparejador
1,1,1,1,5,5,4.16666666666667,2.66666666666667,3.2,2,1,2,5,2,5,5,2,5,5,3,4,4,4,3,3,3,2,3,2,2,2,4,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,27,Madrid,ESPAÑ,0,
2,1,1,1,5,5,3.5,3,3.2,2,1,2,5,2,5,5,2,4,4,3,3,3,4,3,3,3,3,3,3,2,2,3,3,3,4,3,1,1,1,1,1,1,1,1,1,3,2,37,Madrid,ESPAÑOLA,4,MEDICO
1,1,1,1,6,6,6,4.5,5.6,2,1,1,6,1,6,6,1,6,6,6,6,6,6,4,5,6,4,4,4,2,2,6,5,6,6,5,1,1,1,1,1,1,1,1,1,6,0,33,Valencia,Española,3,EmpresarioTéxtil
